date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:44	983/983	---MCZ	200	added ('OK')	text/plain	etag:W/%22ba00d69e9857589bc45e136af8f7ee2d%22	https://gumroad.com/robots.txt		(from )
21:12:44	76307/76307	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2004:12:44%20GMT	https://gumroad.com/	C:/Users/Master/Downloads/poplr%20cult%20webb.com/gumroad.com/index.html	(from )
21:12:45	49021/49021	---MCZ	200	added ('OK')	text/css	etag:W/%224a467010f756f7989ec01ffd4a4a28b7%22	https://assets.gumroad.com/packs/css/4977-dfd44720.css	C:/Users/Master/Downloads/poplr%20cult%20webb.com/assets.gumroad.com/packs/css/4977-dfd44720.css	(from https://gumroad.com/)
21:12:45	270862/270862	---MCZ	200	added ('OK')	text/css	etag:W/%22a51d6c80203a2ba3a5b63debcc6f1414%22	https://assets.gumroad.com/packs/css/design-0a0b2baa.css	C:/Users/Master/Downloads/poplr%20cult%20webb.com/assets.gumroad.com/packs/css/design-0a0b2baa.css	(from https://gumroad.com/)
21:12:45	27557/27557	---M--	200	added ('OK')	image/png	etag:%222e314f4c71bc113cadb508abd1c6e356%22	https://assets.gumroad.com/assets/opengraph_image-4110ebae42201eaa14606ecde6ca17e380f576b25224ba270116b0439775cd0a.png	C:/Users/Master/Downloads/poplr%20cult%20webb.com/assets.gumroad.com/assets/opengraph_image-4110ebae42201eaa14606ecde6ca17e380f576b25224ba270116b0439775cd0a.png	(from https://gumroad.com/)
21:12:46	633/633	---MCZ	200	added ('OK')	text/xml	etag:W/%22682a5816-279%22	https://gumroad.com/opensearch.xml	C:/Users/Master/Downloads/poplr%20cult%20webb.com/gumroad.com/opensearch.xml	(from https://gumroad.com/)
21:12:46	76332/76332	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2004:12:46%20GMT	https://gumroad.com/about	C:/Users/Master/Downloads/poplr%20cult%20webb.com/gumroad.com/about.html	(from https://gumroad.com/)
21:12:46	1278/1278	---M--	200	added ('OK')	image/png	etag:%222c68031a95dd62671f631107705ac884%22	https://assets.gumroad.com/assets/pink-icon-c5f5013768a1da41246e70403f02afc8b34ac89c20f3ba2dd0a01f3973027700.png	C:/Users/Master/Downloads/poplr%20cult%20webb.com/assets.gumroad.com/assets/pink-icon-c5f5013768a1da41246e70403f02afc8b34ac89c20f3ba2dd0a01f3973027700.png	(from https://gumroad.com/)
21:12:49	243162/243162	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2004:12:48%20GMT	https://gumroad.com/discover	C:/Users/Master/Downloads/poplr%20cult%20webb.com/gumroad.com/discover.html	(from https://gumroad.com/)
21:12:50	54380/54380	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2004:12:49%20GMT	https://gumroad.com/features	C:/Users/Master/Downloads/poplr%20cult%20webb.com/gumroad.com/features.html	(from https://gumroad.com/)
21:12:50	44092/44092	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2004:12:49%20GMT	https://gumroad.com/pricing	C:/Users/Master/Downloads/poplr%20cult%20webb.com/gumroad.com/pricing.html	(from https://gumroad.com/)
21:12:50	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2019%20May%202025%2004:12:50%20GMT	https://gumroad.com/users/sign_in	C:/Users/Master/Downloads/poplr%20cult%20webb.com/gumroad.com/users/sign_in	(from https://gumroad.com/)
21:12:51	7427/7427	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2004:12:50%20GMT	https://gumroad.com/login?next=http%3A%2F%2Fgumroad.com%2F	C:/Users/Master/Downloads/poplr%20cult%20webb.com/gumroad.com/login40be.html	(from https://gumroad.com/)
21:12:51	7574/7574	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2004:12:50%20GMT	https://gumroad.com/users/sign_up	C:/Users/Master/Downloads/poplr%20cult%20webb.com/gumroad.com/users/sign_up.html	(from https://gumroad.com/)
21:12:51	297549/297549	---M--	200	added ('OK')	image/png	etag:%2272017e0fe1ce22900e5975ecfbc6fe53%22	https://assets.gumroad.com/assets/creators/vegalia-b885c0ea40b2eaf98fbc40133da41640b2c09ec16f8d8eb0bb1f1b233f15c4d9.png	C:/Users/Master/Downloads/poplr%20cult%20webb.com/assets.gumroad.com/assets/creators/vegalia-b885c0ea40b2eaf98fbc40133da41640b2c09ec16f8d8eb0bb1f1b233f15c4d9.png	(from https://gumroad.com/)
21:12:51	148413/148413	---M--	200	added ('OK')	image/png	etag:%229cb041bafde7bb913910347529d3bf05%22	https://assets.gumroad.com/assets/creators/max-a854c6ed175c738de501885ae3e94a41947931f00af11045fefc68da04eb6dc0.png	C:/Users/Master/Downloads/poplr%20cult%20webb.com/assets.gumroad.com/assets/creators/max-a854c6ed175c738de501885ae3e94a41947931f00af11045fefc68da04eb6dc0.png	(from https://gumroad.com/)
21:12:51	233319/233319	---M--	200	added ('OK')	image/png	etag:%223a0e07ba78c47c49b49348cb25391a3b%22	https://assets.gumroad.com/assets/creators/dru-73d2cbad705aedbe3fa76ac21b0725620c68f90c810ae2f9d6f57e03e922e034.png	C:/Users/Master/Downloads/poplr%20cult%20webb.com/assets.gumroad.com/assets/creators/dru-73d2cbad705aedbe3fa76ac21b0725620c68f90c810ae2f9d6f57e03e922e034.png	(from https://gumroad.com/)
21:12:54	242173/242173	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2004:12:53%20GMT	https://gumroad.com/3d	C:/Users/Master/Downloads/poplr%20cult%20webb.com/gumroad.com/3d.html	(from https://gumroad.com/)
21:12:55	243052/243052	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2004:12:55%20GMT	https://gumroad.com/3d?tags=blender	C:/Users/Master/Downloads/poplr%20cult%20webb.com/gumroad.com/3d69b3.html	(from https://gumroad.com/)
